"1","LVMH","MC.PA","262239352594","531.963","France"
"3","Hermès","RMS.PA","196969983232","1880.53","France"
"6","Dior","CDI.PA","84666646971","469.3","France"
"10","Kering","KER.PA","36461247887","297.356","France"
"78","SMCP S.A.","SMCP.PA","595590428","7.62465","France"
"132","Le Slip Français","ALLSF.PA","16206869","15.1445","France"
